I,U2
-0.04,0
0.03,5.1
0.04,9.9
0.3,14.3
0.31,14.4
0.31,14.5
0.31,14.6
0.32,14.7
0.37,15.5
0.39,15.7
0.4,15.8
0.41,16.2
0.43,16.5
0.45,16.6
0.46,16.8
0.47,17
0.51,17.5
0.5,17.6
0.51,17.7
0.52,17.9
0.55,18.3
0.56,18.5
0.67,20.6
0.68,20.8
0.69,21.1
0.7,21.2
0.71,21.4
0.72,21.6
0.72,21.7
0.81,22.7
0.83,22.9
1,25
1.57,30
1.93,33
1.97,33.1
1.98,33.2
2.02,33.3
2.02,33.5
2.04,33.6
2.08,33.8
2.07,33.9
2.1,34
2.11,34.2
2.19,35.2
2.18,35.3
2.24,35.7
2.26,36.1
2.27,36.2
2.28,36.3
2.29,36.4
2.29,36.6
2.3,36.7
2.31,37
2.31,37.1
2.32,37.2
2.34,37.5
2.35,37.7
2.35,37.7
2.36,38.1
2.35,37.9
2.25,38
2.26,38.1
2.27,38.3
2.28,38.3
2.29,38.6
2.3,38.8
2.29,38.9
2.46,40.8
2.46,40.9
2.47,40.9
2.44,41
2.49,41.1
2.5,41.2
2.51,41.3
2.52,41.4
2.56,41.7
2.9,45
3.73,50
4.57,53.9
4.44,54.4
4.46,54.5
4.47,54.6
4.47,54.7
4.5,54.9
4.47,54.7
4.48,54.9
4.51,55.2
4.56,55.5
4.57,55.7
4.64,55.8
4.66,56
4.73,56.5
4.8,57
4.82,57.2
4.89,57.8
4.89,58.2
4.97,58.4
5.03,58.8
5.08,59.2
5.11,59.6
5.24,60.5
5.27,60.9
5.3,61.1
5.98,65.3
7.02,70.1
8.27,75.2
9.1,78.7
