t,UA1,UB1,IA,UB
0.000,-0.030,0.135,-0.030,1.350
0.100,-0.030,0.165,-0.030,1.650
0.201,-0.030,0.190,-0.030,1.900
0.301,-0.030,0.215,-0.030,2.150
0.401,-0.030,0.240,-0.030,2.400
0.500,-0.030,0.270,-0.030,2.700
0.599,-0.030,0.295,-0.030,2.950
0.700,-0.030,0.320,-0.030,3.200
0.801,-0.030,0.350,-0.030,3.500
0.901,-0.030,0.380,-0.030,3.800
1.000,-0.030,0.405,-0.030,4.050
1.100,-0.030,0.430,-0.030,4.300
1.200,-0.030,0.455,-0.030,4.550
1.300,-0.030,0.485,-0.030,4.850
1.400,-0.030,0.510,-0.030,5.100
1.500,-0.030,0.540,-0.030,5.400
1.600,-0.030,0.565,-0.030,5.650
1.701,-0.030,0.595,-0.030,5.950
1.801,-0.030,0.620,-0.030,6.200
1.900,-0.030,0.650,-0.030,6.500
2.000,-0.030,0.670,-0.030,6.700
2.100,-0.030,0.700,-0.030,7.000
2.201,-0.030,0.725,-0.030,7.250
2.301,-0.030,0.755,-0.030,7.550
2.400,-0.030,0.785,-0.030,7.850
2.501,-0.030,0.805,-0.030,8.050
2.600,-0.030,0.835,-0.030,8.350
2.700,-0.030,0.860,-0.030,8.600
2.801,-0.030,0.885,-0.030,8.850
2.901,-0.030,0.915,-0.030,9.150
2.999,-0.030,0.940,-0.030,9.400
3.100,-0.030,0.965,-0.030,9.650
"3,2",0.000,0.995,0.000,"9,95"
"3,3",0.375,1.020,0.375,"10,2"
"3,4",1.140,1.045,1.140,"10,45"
"3,5",1.740,1.075,1.740,"10,75"
3601.000,2.175,1.105,2.175,"11,05"
"3,7",2.520,1.130,2.520,"11,3"
"3,8",2.820,1.155,2.820,"11,55"
"3,9",3.075,1.180,3.075,"11,8"
4001.000,3.315,1.205,3.315,"12,05"
"4,1",3.525,1.235,3.525,"12,35"
4201.000,3.735,1.265,3.735,"12,65"
"4,3",3.840,1.290,3.840,"12,9"
"4,4",4.035,1.320,4.035,"13,2"
4501.000,4.215,1.345,4.215,"13,45"
"4,6",4.380,1.370,4.380,"13,7"
"4,7",4.545,1.395,4.545,"13,95"
4799.000,4.695,1.420,4.695,"14,2"
"4,9",4.845,1.450,4.845,"14,5"
5.000,4.980,1.475,4.980,"14,75"
"5,1",5.115,1.505,5.115,"15,05"
"5,2",5.235,1.530,5.235,"15,3"
"5,3",5.370,1.560,5.370,"15,6"
"5,4",5.490,1.585,5.490,"15,85"
5501.000,5.625,1.615,5.625,"16,15"
"5,6",5.685,1.635,5.685,"16,35"
"5,7",5.805,1.665,5.805,"16,65"
"5,8",5.940,1.690,5.940,"16,9"
"5,9",6.045,1.715,6.045,"17,15"
5999.000,6.090,1.745,6.090,"17,45"
"6,1",6.075,1.770,6.075,"17,7"
"6,2",5.970,1.795,5.970,"17,95"
6299.000,5.805,1.825,5.805,"18,25"
"6,4",5.670,1.855,5.670,"18,55"
"6,5",5.520,1.880,5.520,"18,8"
6599.000,5.310,1.900,5.310,19.000
6699.000,5.055,1.930,5.055,"19,3"
"6,8",4.770,1.955,4.770,"19,55"
"6,9",4.620,1.985,4.620,"19,85"
7.000,4.305,2.010,4.305,"20,1"
"7,1",4.005,2.035,4.005,"20,35"
"7,2",3.690,2.060,3.690,"20,6"
"7,3",3.375,2.085,3.375,"20,85"
7401.000,3.075,2.110,3.075,"21,1"
7501.000,2.790,2.145,2.790,"21,45"
7599.000,2.520,2.170,2.520,"21,7"
"7,7",2.250,2.195,2.250,"21,95"
"7,8",1.980,2.220,1.980,"22,2"
7901.000,1.710,2.245,1.710,"22,45"
8001.000,1.440,2.270,1.440,"22,7"
"8,1",1.155,2.300,1.155,23.000
"8,2",1.020,2.325,1.020,"23,25"
8299.000,0.765,2.350,0.765,"23,5"
8401.000,0.510,2.380,0.510,"23,8"
"8,5",0.285,2.405,0.285,"24,05"
8601.000,0.105,2.435,0.105,"24,35"
"8,7",0.150,2.455,0.150,"24,55"
"8,8",0.000,2.485,0.000,"24,85"
"8,9",-0.150,2.510,-0.015,"25,1"
9.000,-0.030,2.535,-0.030,"25,35"
"9,1",-0.030,2.565,-0.030,"25,65"
"9,2",-0.030,2.595,-0.030,"25,95"
9301.000,-0.030,2.615,-0.030,"26,15"
9401.000,-0.030,2.645,-0.030,"26,45"
"9,5",-0.030,2.670,-0.030,"26,7"
"9,6",-0.030,2.695,-0.030,"26,95"
9701.000,0.105,2.720,0.105,"27,2"
"9,8",0.660,2.745,0.600,"27,45"
9901.000,1.125,2.770,1.125,"27,7"
10.000,1.455,2.800,1.455,28.000
"10,1",1.725,2.825,1.725,"28,25"
10201.000,1.965,2.855,1.965,"28,55"
"10,3",2.235,2.875,2.235,"28,75"
"10,4",2.610,2.905,2.610,"29,05"
"10,5",3.030,2.935,3.030,"29,35"
10601.000,3.420,2.960,3.420,"29,6"
10701.000,3.765,2.980,3.765,"29,8"
10801.000,3.930,3.010,3.930,"30,1"
"10,9",4.245,3.035,4.245,"30,35"
11001.000,4.560,3.060,4.560,"30,6"
"11,1",4.875,3.085,4.875,"30,85"
11199.000,5.190,3.115,5.190,"31,15"
11301.000,5.490,3.140,5.490,"31,4"
"11,4",5.790,3.165,5.790,"31,65"
"11,5",6.075,3.190,6.075,"31,9"
"11,6",6.360,3.215,6.360,"32,15"
